"Label (Grouping)","Massachusetts","Barnstable County, Massachusetts","Berkshire County, Massachusetts","Bristol County, Massachusetts","Dukes County, Massachusetts","Essex County, Massachusetts","Franklin County, Massachusetts","Hampden County, Massachusetts","Hampshire County, Massachusetts","Middlesex County, Massachusetts","Nantucket County, Massachusetts","Norfolk County, Massachusetts","Plymouth County, Massachusetts","Suffolk County, Massachusetts","Worcester County, Massachusetts"
"Total:","7,029,917","228,996","129,026","579,200","20,600","809,829","71,029","465,825","162,308","1,632,002","14,255","725,981","530,819","797,936","862,111"
"    Population of one race:","6,421,050","213,114","120,699","528,518","18,373","734,597","66,227","417,894","150,362","1,497,263","12,868","679,397","485,721","708,969","787,048"
"        White alone","4,896,037","196,459","110,862","455,763","16,321","558,325","62,398","302,357","130,161","1,112,445","10,159","519,522","411,558","375,467","634,240"
"        Black or African American alone","494,029","6,603","4,296","25,668","813","33,524","1,075","41,556","4,706","84,670","1,027","51,371","45,132","145,566","48,022"
"        American Indian and Alaska Native alone","24,018","1,224","287","2,443","214","4,076","195","2,338","426","3,676","87","1,257","1,218","3,865","2,712"
"        Asian alone","507,934","3,223","2,019","13,779","185","29,819","1,198","12,344","10,796","210,462","264","88,512","7,772","81,140","46,421"
"        Native Hawaiian and Other Pacific Islander alone","2,301","81","24","171","10","285","11","286","58","444","5","166","101","409","250"
"        Some Other Race alone","496,731","5,524","3,211","30,694","830","108,568","1,350","59,013","4,215","85,566","1,326","18,569","19,940","102,522","55,403"
"    Population of two or more races:","608,867","15,882","8,327","50,682","2,227","75,232","4,802","47,931","11,946","134,739","1,387","46,584","45,098","88,967","75,063"
"        Population of two races:","571,923","14,516","7,793","46,085","2,057","70,965","4,444","44,787","11,137","128,013","1,270","43,761","42,263","83,682","71,150"
"            White; Black or African American","56,449","1,473","1,785","4,790","174","6,072","589","4,966","1,414","11,190","88","4,835","3,914","7,753","7,406"
"            White; American Indian and Alaska Native","41,151","1,748","1,506","3,944","126","4,492","1,103","3,805","1,561","7,148","51","2,830","3,415","2,111","7,311"
"            White; Asian","58,164","1,025","681","2,648","100","4,805","491","2,305","1,849","21,176","87","7,673","2,481","7,084","5,759"
